"city1";"city2";"avg_fare";"total_passengers";"number_of_trips"
"Chicago, IL";"New Orleans, LA";171.541968;103530.0;249
"Chicago, IL";"San Diego, CA";220.572423;169335.0;260
"Chicago, IL";"Norfolk, VA (Metropolitan Area)";186.262241;43064.0;464
"Chicago, IL";"Pensacola, FL";205.327639;7167.0;72
"Chicago, IL";"Oklahoma City, OK";186.028664;32999.0;247
"Chicago, IL";"West Palm Beach/Palm Beach, FL";196.160711;52275.0;239
"Chicago, IL";"Portland, OR";249.472772;89703.0;267
"Chicago, IL";"Philadelphia, PA";190.441265;257652.0;253
"Chicago, IL";"Portland, ME";227.339412;4927.0;51
"Chicago, IL";"Raleigh/Durham, NC";169.519881;118310.0;253
"Chicago, IL";"Richmond, VA";226.136987;36671.0;239
"Chicago, IL";"Reno, NV";208.777277;29477.0;224
"Chicago, IL";"Salt Lake City, UT";217.10816;83574.0;250
"Chicago, IL";"Savannah, GA";198.851203;18096.0;158
"Chicago, IL";"Sarasota/Bradenton, FL";182.097536;31719.0;211
"Chicago, IL";"Syracuse, NY";243.125722;18385.0;180
"Chicago, IL";"Knoxville, TN";217.960982;15576.0;163
"Charleston, SC";"Dallas/Fort Worth, TX";224.764821;14556.0;112
"Charleston, SC";"Washington, DC (Metropolitan Area)";190.597652;65340.0;362
"Charleston, SC";"Chicago, IL";205.386158;31732.0;190
"Charleston, SC";"Houston, TX";228.913333;9314.0;90
"Charleston, SC";"New York City, NY (Metropolitan Area)";186.33213;93638.0;709
"Charleston, SC";"Miami, FL (Metropolitan Area)";168.408286;10682.0;70
"Charleston, SC";"Los Angeles, CA (Metropolitan Area)";319.082269;11612.0;238
"Cedar Rapids/Iowa City, IA";"Phoenix, AZ";193.668375;9015.0;80
"Charlotte, NC";"Dallas/Fort Worth, TX";248.867409;82907.0;220
"Charlotte, NC";"Phoenix, AZ";310.22697;31113.0;66
"Charlotte, NC";"Cleveland, OH (Metropolitan Area)";230.961681;31775.0;232
"Charlotte, NC";"Washington, DC (Metropolitan Area)";217.789643;123843.0;364
"Charlotte, NC";"Chicago, IL";197.315363;111000.0;248
"Charlotte, NC";"Houston, TX";249.457925;47185.0;265
"Charlotte, NC";"New York City, NY (Metropolitan Area)";211.689201;285683.0;713
"Charlotte, NC";"San Francisco, CA (Metropolitan Area)";329.447825;59707.0;354
"Charlotte, NC";"Miami, FL (Metropolitan Area)";197.937288;88172.0;236
"Charlotte, NC";"Los Angeles, CA (Metropolitan Area)";315.250392;84865.0;587
"Charlotte, NC";"Tampa, FL (Metropolitan Area)";217.452893;43474.0;121
"Columbus, OH";"Dallas/Fort Worth, TX";229.543423;55317.0;222
"Columbus, OH";"Denver, CO";221.2175;21215.0;48
"Columbus, OH";"Phoenix, AZ";242.337612;29843.0;67
"Columbus, OH";"Seattle, WA";264.511951;10323.0;41
"Columbus, OH";"Washington, DC (Metropolitan Area)";162.18847;83649.0;366
"Columbus, OH";"Myrtle Beach, SC";105.88;353.0;4
"Columbus, OH";"Houston, TX";220.844348;34035.0;276
"Columbus, OH";"Orlando, FL";153.983091;43818.0;55
"Columbus, OH";"Minneapolis/St. Paul, MN";267.942857;13048.0;49
"Columbus, OH";"New York City, NY (Metropolitan Area)";207.078895;120023.0;715
"Columbus, OH";"Fort Myers, FL";177.152037;21074.0;54
"Columbus, OH";"Las Vegas, NV";217.342;27535.0;50
"Columbus, OH";"San Francisco, CA (Metropolitan Area)";247.860313;43636.0;351
"Columbus, OH";"Miami, FL (Metropolitan Area)";159.81854;59318.0;274
"Columbus, OH";"Los Angeles, CA (Metropolitan Area)";241.832559;74294.0;590
"Columbus, OH";"Tampa, FL (Metropolitan Area)";130.655153;66159.0;163
"Columbus, OH";"San Diego, CA";269.703125;6058.0;32
"Columbus, OH";"Philadelphia, PA";284.257805;11918.0;41
"Columbus, OH";"Sarasota/Bradenton, FL";150.033182;2679.0;22
"St. Louis, MO";"Washington, DC (Metropolitan Area)";206.737197;148304.0;371
"St. Louis, MO";"Tampa, FL (Metropolitan Area)";168.919643;56604.0;140
"Myrtle Beach, SC";"Washington, DC (Metropolitan Area)";173.99;6760.0;75
"Myrtle Beach, SC";"New York City, NY (Metropolitan Area)";166.319944;71036.0;712
"Jacksonville, FL";"Washington, DC (Metropolitan Area)";171.61273;110281.0;370
"Jacksonville, FL";"New York City, NY (Metropolitan Area)";182.522025;149409.0;711
"Jacksonville, FL";"Miami, FL (Metropolitan Area)";131.858233;67333.0;232
"Jacksonville, FL";"Los Angeles, CA (Metropolitan Area)";285.490188;37296.0;586
"Detroit, MI";"Phoenix, AZ";215.413793;97709.0;116
"Detroit, MI";"Washington, DC (Metropolitan Area)";182.928225;188109.0;383
"Detroit, MI";"Houston, TX";214.67654;79769.0;289
"Detroit, MI";"New York City, NY (Metropolitan Area)";214.529387;297817.0;734
"Detroit, MI";"San Francisco, CA (Metropolitan Area)";269.940472;113216.0;381
"Detroit, MI";"Miami, FL (Metropolitan Area)";167.127073;198424.0;246
"Detroit, MI";"Los Angeles, CA (Metropolitan Area)";261.887829;196069.0;631
"Detroit, MI";"Tampa, FL (Metropolitan Area)";152.571296;138051.0;162
